Participant ID,Affiliation,Class teaching,Gender,L1,Years teaching Spanish,Num: Years teaching Spanish,"How many times have you taught the class that you are currently teaching, and in which years and universities have you taught it before?",How challenging is it to teach the imperfect before the preterit?,How challenging is it to teach the preterit before the imperfect?,Have you noticed any differences in students' use of the preterit-imperfect this quarter (in contrast to when you've taught the preterit before the imperfect)? Please elaborate.,Have you noticed any differences in the challenges students have had with learning the preterit-imperfect this quarter (in contrast to when you've taught the preterit before the imperfect)? Please elaborate.,How has your experience been teaching the imperfect before the preterit?,Do you have any questions or comments about this study?
P1,Instructor,SPA 2,Female,Spanish,3,3,1,Somewhat easy,Somewhat easy,It is a little bit funny because students are overusing imperfect when they can use the preterit form.  ,It is my first time teaching SPA 2,It is quite normal ,I think this method is working well 
P2,graduate student,SPA 2,Male,Spanish,Less than a year,1,"Once, at UC Davis",Somewhat challenging,Somewhat challenging,"This quarter, SPA 2 does not include the preterit, which has been, to the best of my knowledge, posponed to SPA 3. In my opinion, preterite should be taught before imperfect because with preterite students can talk about what they have done in a specific frame of time. Instructors can ask them what they did the day before, what did they eat, who did they see, etc., instead of what they used to do, be, etc. (which is a bit more abstract).","Again, this quarter in SPA 2 we have not taught preterite.","As stated before, imperfect is a bit harder for students to use than preterite. Sometimes they don't get the idea that imperfect doesn't have a specific time frame, that it can be used precisely to not be specific about when something happened in the past. In my opinion, it would be easier to teach imperfect after preterite. Students might get a better idea of when to use imperfect when they have already internalized preterite and by contrast with it.",No
P3,graduate student,SPA 2,Female,Spanish,First year ,1,This is the second time. ,Somewhat easy,Very challenging,This is the first time I taught imperfect and I haven't taught preterit. ,"They sometimes don't understand the point of having imperfect tense if there is a past tense -preterit, which they can learn. 

Also, although it seems easy to conjugate thanks to the conjugation rules, there are a lot of mistakes and they switch the ending -aba to -ía, or viceversa. ","Overall good, but I think students need more time to be used with the imperfect after having done everything in the course with the present tense. Also I think that us as TA's should emphasize the importance and peculiarity of the imperfect in contrast to the preterit, so that it makes more sense. ",
P4,graduate student,SPA 2,Female,Chinese,0,1,0,Somewhat challenging,Very easy,I have not taught in previous quarters.,I have not taught in previous quarters.,"I find it somewhat challenging because some students have learned Spanish in high school and know how to conjugate in the preterit, but they were restricted to using only imperfect in class, which can be difficult since some of the questions would make sense to answer them in preterit such as how was your weekend. ",
P5,graduate student,"SPA 2,SPA 21",Female,English,10,10,SPA 2 - 2 times (UC Davis); SPA 21 - 1 time (UC Davis),Somewhat easy,Somewhat easy,"This is hard to say because so far I feel like (in SPA 2), they are doing well with the Imperfect, however because we will not be continuing on with Preterite in the same class, I am not sure how this group of students will respond to now knowing about them both. Additionally, as it was designed for WQ23, Unidad 12 (which introduces the imperfect) was right at the end of the quarter. Although I had some assessment of their capabilities, understanding and mastery of the imperfect, the course ends quite soon after that making a holistic assessment of the students' understanding minimal. Right now, I feel like the students understand it fairly well, but I think the real test is to see what happens when the preterite is introduced. ","This is just observational conjecture, based on my assessment from grading their work, their exams, and observing them in class, but they seem to not be as confused by the imperfect at this time. One thing that sticks out is them remembering the written accent on 2nd person plural (i.e observábamos, and with irregulars like éramos). I feel like I am getting a lot of questions about accents at this time, like ""how do we know when to write and not?""","It seems they have less questions, less confusions. I think the struggle comes when they are introduced to both past tenses, is when they really get into questioning ""but why"", ""but what about this?"". If I move with this group into SPA 3Y, that will be really interesting because I have been with them since SPA 1Y, now SPA 2Y, and if I get to teach them in SPA 3Y, I will be able to really observe some differences, I think.

Although right now there seem to be less questions/less confusion among the students, I think that a) regardless of which tense is taught the students will experience difficulties once the second one is introduced; b) however, I think it will be really valuable to see exam comparisons, student experience surveys, and general assessment of their capabilities with this switch, because while right now it seems ""smooth"" and ""easy"", I haven't seen this flow of grammatical tenses before, so it will be interesting to see what the results are.",No. But this is super interesting! Keep it up!
P6,graduate student,SPA 3,Female,Spanish,6,6,UCD - 2; West Virginia University - 4; Fairmont State University: 1,Very easy,Somewhat easy,Not really,Not really,About the same as doing it the other way around.,No
P7,graduate student,SPA 3,Female,Spanish,1.2 years,1,"3, 2022-2023 UC Davis",Very challenging,Somewhat easy,"I believe it took more work to understand the concepts, but then they used them better. Introducing the imperfect first, made students super confused about why was not used as the past simple and that was their first interaction with the imperfect. Then, they tried to use imperfect for all the past meanings. However, when we introduced the preterit and the differenced between preterit and imperfect, the students were able to understand the uses better and how they compared. ","The main difference is that when we taught the preterit before, they tend to understand the meaning faster but then just use preterit for everything, and do not understand the different uses of them.","It was a process to introduce the imperfect and explain that we have other forms, but overall it was overwhelming because there were many questions about meaning and use.",
P8,graduate student,SPA 3,Male,Spanish,6,6,"2 times, Spring 2022 and Winter 2023 both at UC Davis",Somewhat easy,Somewhat easy,"No, I did not notice any significant difference between this quarter and Spring 2022. ","No, I think students did well both quarters.",I was used to teach first the pretérito but I did not find any difficulty having to teach the inperfect first. ,"No, thanks"
P9,graduate student,SPA 3,Female,Spanish ,4 semesters and 2 quarters ,3,This is the first time that I teach Spanish level 3,Somewhat challenging,Somewhat easy,It's interesting that now they have the habit of using imperfect more than preterite ,"I am not sure, I just realized that following the new syllabus students prefer to use imperfect ","Pretty interesting, it's a different point of view even for me as Spanish native speaker. I can tell it's was refreshing ",I would like to know the results :)
